Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/globalassets/mla-corporate/prices--markets/documents/minlrs-information-brochures-etc/mla-market-reports-data-and-information-terms-of-use.pdf

Weekly,State,Saleyard,Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head,Price c/kg Lwt
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,0-200,Feeder,D,1,29,192.13793103448276
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,1,19,182.31578947368422
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,49,196.75510204081633
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Processor,D,2,1,190
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,48,138.0625
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,15,179.46666666666667
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,28,242.46428571428572
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,60,225.35
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,D,1,7,140
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,D,2,6,182.5
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,3,134
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,93,253.9247311827957
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,1,6,180
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,38,218.23684210526315
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,2,1,210
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,D,2,1,200
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Processor,C,3,13,253.07692307692307
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Processor,D,3,7,174
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Restocker,D,2,17,222
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,0-200,Restocker,D,1,4,210
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,C,2,5,220
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,1,7,197.28571428571428
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,2,22,228
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,C,2,7,241
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,1,7,130
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,37,248.3783783783784
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,16,253.125
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,1,4,230
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,2,43,297.95348837209303
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Processor,C,3,7,290
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,8,253.75
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,1,2,120
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,192,290.2708333333333
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,D,2,17,260.70588235294116
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,3,10,290
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,C,2,5,280
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,24,287.0833333333333
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,3,17,282.29411764705884
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,D,2,1,252
2018-11-04 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,3,15,271.53333333333336
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,0-200,Restocker,D,1,6,169
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,21,177.61904761904762
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,26,209.46153846153845
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,22,218.0909090909091
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,20,202
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,C,3,1,291
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,D,2,4,214
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,C,2,3,270
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,1,1,180
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,8,193
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,10,257.4
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,13,230.53846153846155
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,3,8,235
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,C,3,1,260
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,2,4,246
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,3,3,220
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,D,3,6,246
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,16,236.5
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,6,300
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,2,11,220.45454545454547
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Processor,D,2,7,190
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,6,282
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,2,17,246.47058823529412
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,42,302.6666666666667
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,3,8,290
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,2,6,290
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,3,6,263.5
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,D,2,13,272
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,20,285.8
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,3,2,302
2018-11-11 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,3,3,289.6666666666667
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,0-200,Restocker,D,1,9,137.11111111111111
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Dairy,D,1,1,100
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,C,2,17,222
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,1,3,192
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,41,197.46341463414635
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,43,196.67441860465115
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,27,187.4814814814815
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,67,223.32835820895522
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,C,2,12,240
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,107,246.41121495327104
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,3,7,244
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,7,219.28571428571428
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,C,3,5,254
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,D,3,2,245
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,2,21,236
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,D,2,12,214
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,C,2,4,258
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,C,3,2,244
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,D,3,8,210
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Processor,C,3,1,240
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,0-200,Restocker,D,1,7,173
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,2,67,247.26865671641792
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,C,2,30,285.8
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,67,264.7014925373134
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,9,250
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,2,18,233.5
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,45,286.0888888888889
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,3,8,297
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,2,14,247.85714285714286
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,48,298.0625
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,3,5,270
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,C,2,72,303.625
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,D,2,1,265
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,37,302.2972972972973
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,D,2,1,257
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,2,2,268
2018-11-18 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,3,10,288
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,0-200,Restocker,D,1,32,242.3125
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,28,232.53571428571428
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,17,232.1764705882353
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,37,237.72972972972974
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,6,254.83333333333334
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,C,2,2,229
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,C,2,9,262.44444444444446
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,1,13,236
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,49,250.51020408163265
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,23,259.30434782608694
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,3,3,265
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,2,44,268.4318181818182
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,3,4,247
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,D,2,17,233.41176470588235
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,D,3,7,247.42857142857142
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,C,2,2,250
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,C,3,7,262
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,D,2,4,252
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,D,3,1,222
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,2,2,260
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,C,2,14,288.7142857142857
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,34,247.8235294117647
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,19,273.3157894736842
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,41,287.4634146341463
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,2,7,281
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,105,293.84761904761905
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,D,2,1,255
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,3,1,274
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,C,2,18,285
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,D,2,2,249
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,16,284
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,3,18,298.3333333333333
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,3,10,268.3
2018-11-25 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Restocker,C,3,7,300.57142857142856
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,0-200,Restocker,D,1,25,209.84
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,1,38,251
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,4,238
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Processor,C,2,4,228
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,2,180
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,38,255.1315789473684
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,43,252.06976744186048
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,19,234.21052631578948
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,C,3,8,265
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,9,220.88888888888889
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,33,263.8787878787879
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,14,256.42857142857144
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,2,39,266.20512820512823
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,D,2,4,236
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Processor,C,3,5,245
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,0-200,Restocker,D,1,21,246.66666666666666
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,0-200,Restocker,E,1,1,180
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,1,1,175
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,2,3,232
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,C,2,19,276.8421052631579
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,1,27,242.25925925925927
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,30,262.9
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,79,297.34177215189874
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,2,1,265
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,20,283.35
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,2,14,269.7142857142857
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,32,287.75
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,3,6,290
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,D,2,2,223
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,B,2,4,270
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,C,2,19,290.7894736842105
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,47,283.8510638297872
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,3,8,272.625
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,2,4,240
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,3,1,272
2018-12-02 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Restocker,C,2,8,285
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,C,2,5,236.8
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,94,230.01063829787233
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Processor,D,2,1,100
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,17,180.23529411764707
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,7,180
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,19,233.94736842105263
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,39,221.28205128205127
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,C,2,6,235
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,2,173
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,81,253.71604938271605
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,3,30,267.53333333333336
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,30,227.13333333333333
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,C,2,3,225
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,C,3,9,251.88888888888889
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,D,3,3,229.66666666666666
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,2,8,240
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,C,3,6,250
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Restocker,D,1,2,180
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,C,2,18,246.61111111111111
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,C,3,64,265.875
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Processor,C,3,5,243.2
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,1,1,150
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,2,13,277.15384615384613
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,C,2,13,278.38461538461536
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,1,16,267.25
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,26,268.84615384615387
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,30,274.1666666666667
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,2,2,239
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,11,270.1818181818182
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,2,3,264
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,57,277.2105263157895
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,D,2,4,269
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,3,2,275
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,C,2,30,290.6
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,D,2,3,225.66666666666666
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,12,255.66666666666666
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,3,12,263.25
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Restocker,C,2,7,249.14285714285714
2018-12-09 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Restocker,C,3,2,278
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,0-200,Restocker,E,1,3,147
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,1,24,245
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,56,260.75
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Processor,D,1,1,80
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,1,1,130
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,70,262.2857142857143
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,E,1,7,113
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,10,253.5
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,3,4,266
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,55,252.4181818181818
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,1,3,200
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,24,261
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,42,260.92857142857144
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,3,4,270
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,10,239.5
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,C,3,3,255
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Heifer,400+,Feeder,D,3,2,260
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,1,4,258
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Feeder,D,2,29,243.10344827586206
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Processor,D,1,2,100
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,1,8,260.5
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,200-280,Restocker,D,2,11,266.3636363636364
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,C,2,17,264.7647058823529
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Feeder,D,2,35,268.1142857142857
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Processor,C,3,3,290
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,2,21,282.3333333333333
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,C,3,3,278
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,280-330,Restocker,D,2,34,249.02941176470588
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,2,25,273.6
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,C,3,10,262
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Feeder,D,2,3,244
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Processor,C,3,2,275
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,C,2,2,272.5
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,330-400,Restocker,D,2,17,261
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Feeder,C,2,16,264.8125
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,C,3,4,268.25
2018-12-16 00:00:00,NSW,SELX Yass,Yearling Steer,400+,Processor,D,3,1,220
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,C,2,5,245
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Feeder,D,2,29,234.27586206896552
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,200-280,Restocker,D,2,10,155
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,C,2,8,254.375
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Feeder,D,2,8,230
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Processor,C,3,4,266
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,280-330,Restocker,D,2,6,196.66666666666666
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,2,65,264.7230769230769
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,C,3,8,262.5
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,2,2,230
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Feeder,D,3,3,245
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,C,3,5,262.8
2019-01-13 00:00:00,NSW,SELX Yass,Yearling Heifer,330-400,Processor,D,2,1,155
